Clark County, Kentucky, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.0
201002,29.2
201003,46.0
201004,58.7
201005,66.2
201006,75.8
201007,77.4
201008,77.4
201009,69.3
201010,57.9
201011,46.1
201012,26.9
201101,28.7
201102,38.1
201103,47.1
201104,57.2
201105,63.0
201106,72.3
201107,78.5
201108,74.5
201109,66.6
201110,54.5
201111,49.5
201112,40.6
201201,37.5
201202,39.6
201203,56.8
201204,55.4
201205,68.2
201206,71.1
201207,79.9
201208,73.7
201209,66.8
201210,54.5
201211,41.8
201212,42.6
201301,36.0
201302,35.2
201303,38.8
201304,54.6
201305,64.6
201306,72.8
201307,74.3
201308,73.4
201309,68.6
201310,57.0
201311,42.2
201312,37.4
201401,25.6
201402,32.3
201403,40.6
201404,57.1
201405,65.2
201406,73.3
201407,72.5
201408,74.3
201409,67.7
201410,57.2
201411,39.4
201412,39.1
201501,30.8
201502,24.5
201503,43.1
201504,55.8
201505,67.0
201506,73.0
201507,75.2
201508,71.8
201509,69.8
201510,56.8
201511,50.0
201512,48.6
201601,30.7
201602,37.9
201603,50.8
201604,56.3
201605,62.1
201606,73.6
201607,77.0
201608,77.8
201609,71.7
201610,61.7
201611,48.6
201612,36.2
