Madison Parish, Louisiana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,43.0
201002,42.3
201003,54.1
201004,67.3
201005,76.1
201006,83.8
201007,83.6
201008,85.2
201009,78.9
201010,67.0
201011,57.4
201012,45.0
201101,44.3
201102,51.8
201103,58.9
201104,69.2
201105,72.3
201106,83.7
201107,85.1
201108,85.8
201109,74.9
201110,63.8
201111,58.7
201112,48.2
201201,52.4
201202,52.9
201203,66.7
201204,68.1
201205,76.0
201206,79.9
201207,82.9
201208,81.4
201209,76.4
201210,63.6
201211,54.6
201212,53.7
201301,50.4
201302,51.0
201303,53.0
201304,64.0
201305,70.5
201306,80.0
201307,79.8
201308,81.3
201309,78.9
201310,68.0
201311,51.8
201312,47.8
201401,42.1
201402,47.1
201403,53.0
201404,63.9
201405,72.0
201406,79.8
201407,78.8
201408,80.6
201409,78.3
201410,68.3
201411,51.2
201412,51.4
201501,46.0
201502,44.2
201503,58.5
201504,69.0
201505,74.4
201506,81.4
201507,84.9
201508,82.7
201509,79.7
201510,69.1
201511,61.7
201512,57.9
201601,46.9
201602,54.6
201603,63.2
201604,68.0
201605,73.6
201606,81.5
201607,84.4
201608,83.7
201609,80.4
201610,71.7
201611,61.5
201612,51.5
