Somerset County, Maryland, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,34.3
201002,33.0
201003,48.4
201004,58.7
201005,67.8
201006,78.5
201007,81.4
201008,78.4
201009,72.5
201010,60.8
201011,48.8
201012,32.3
201101,32.3
201102,40.9
201103,45.9
201104,58.7
201105,67.3
201106,76.0
201107,80.9
201108,77.2
201109,71.6
201110,59.0
201111,52.0
201112,45.1
201201,41.7
201202,43.2
201203,54.3
201204,57.3
201205,69.1
201206,74.1
201207,82.9
201208,78.2
201209,70.2
201210,61.4
201211,45.9
201212,46.2
201301,39.2
201302,38.3
201303,42.1
201304,56.0
201305,65.2
201306,75.0
201307,80.2
201308,75.1
201309,68.4
201310,61.5
201311,47.1
201312,42.8
201401,32.7
201402,36.8
201403,42.5
201404,54.1
201405,67.2
201406,74.2
201407,77.5
201408,74.7
201409,70.9
201410,62.1
201411,46.2
201412,42.6
201501,34.8
201502,28.2
201503,42.6
201504,55.5
201505,67.9
201506,75.5
201507,78.3
201508,76.0
201509,73.1
201510,58.8
201511,53.1
201512,52.4
201601,36.4
201602,40.2
201603,51.6
201604,54.7
201605,62.9
201606,73.8
201607,80.8
201608,80.7
201609,73.7
201610,62.6
201611,50.8
201612,41.6
