Arenac County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,23.1
201002,25.5
201003,38.6
201004,49.2
201005,59.2
201006,66.1
201007,72.4
201008,71.8
201009,59.8
201010,50.9
201011,38.5
201012,24.5
201101,17.8
201102,21.4
201103,28.3
201104,42.7
201105,55.8
201106,65.4
201107,73.9
201108,69.1
201109,60.3
201110,50.0
201111,41.4
201112,31.7
201201,26.6
201202,29.4
201203,45.1
201204,45.1
201205,58.7
201206,66.7
201207,73.7
201208,68.2
201209,59.5
201210,48.5
201211,37.8
201212,32.4
201301,24.6
201302,22.7
201303,30.0
201304,40.5
201305,57.7
201306,65.0
201307,70.1
201308,67.4
201309,59.5
201310,50.1
201311,35.3
201312,20.7
201401,13.4
201402,13.7
201403,21.1
201404,42.3
201405,55.0
201406,65.9
201407,65.8
201408,66.6
201409,59.5
201410,48.8
201411,32.9
201412,30.3
201501,17.7
201502,8.9
201503,29.4
201504,43.4
201505,58.4
201506,63.4
201507,69.0
201508,68.0
201509,65.3
201510,49.7
201511,42.3
201512,37.1
201601,24.1
201602,26.6
201603,36.0
201604,40.5
201605,56.6
201606,65.2
201607,72.4
201608,72.2
201609,64.4
201610,53.0
201611,43.4
201612,27.4
