Hennepin County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,11.5
201002,17.8
201003,39.2
201004,53.4
201005,59.0
201006,67.3
201007,74.0
201008,74.3
201009,58.6
201010,52.0
201011,33.6
201012,14.8
201101,10.0
201102,17.0
201103,27.6
201104,44.7
201105,56.6
201106,67.3
201107,76.4
201108,71.0
201109,60.7
201110,53.4
201111,37.1
201112,25.9
201201,21.8
201202,26.3
201203,46.9
201204,48.9
201205,62.1
201206,70.0
201207,77.8
201208,69.6
201209,61.3
201210,46.0
201211,35.4
201212,21.3
201301,15.6
201302,17.2
201303,24.9
201304,38.8
201305,56.0
201306,66.6
201307,72.2
201308,71.6
201309,64.9
201310,47.4
201311,30.9
201312,10.4
201401,5.9
201402,6.7
201403,23.6
201404,41.3
201405,57.0
201406,68.0
201407,69.5
201408,71.2
201409,60.8
201410,47.8
201411,24.2
201412,22.9
201501,17.4
201502,10.2
201503,34.1
201504,48.3
201505,57.2
201506,68.1
201507,71.6
201508,68.6
201509,66.3
201510,51.0
201511,40.4
201512,28.9
201601,15.8
201602,23.4
201603,39.9
201604,47.1
201605,59.0
201606,69.3
201607,72.7
201608,70.9
201609,64.0
201610,51.0
201611,42.0
201612,19.1
