Meeker County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,9.6
201002,13.5
201003,36.7
201004,51.9
201005,57.6
201006,66.4
201007,71.8
201008,72.0
201009,57.1
201010,50.9
201011,31.6
201012,13.1
201101,7.9
201102,14.5
201103,24.2
201104,44.3
201105,54.9
201106,65.6
201107,75.4
201108,69.8
201109,59.2
201110,52.0
201111,34.3
201112,25.4
201201,21.7
201202,25.0
201203,45.1
201204,48.7
201205,61.9
201206,68.7
201207,76.9
201208,68.4
201209,59.7
201210,44.5
201211,33.1
201212,18.1
201301,13.4
201302,14.5
201303,22.0
201304,35.8
201305,54.5
201306,65.2
201307,70.9
201308,69.4
201309,63.5
201310,46.3
201311,29.4
201312,9.3
201401,5.5
201402,6.2
201403,23.0
201404,40.1
201405,55.2
201406,67.1
201407,68.3
201408,69.4
201409,60.1
201410,47.3
201411,22.4
201412,22.9
201501,17.0
201502,9.4
201503,32.6
201504,46.2
201505,55.5
201506,66.5
201507,70.0
201508,66.5
201509,65.8
201510,49.8
201511,38.7
201512,26.6
201601,15.0
201602,23.6
201603,39.2
201604,45.8
201605,57.3
201606,67.6
201607,70.1
201608,69.5
201609,62.1
201610,49.2
201611,40.7
201612,17.3
