Sibley County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,9.0
201002,13.4
201003,36.4
201004,53.8
201005,59.2
201006,67.8
201007,73.2
201008,73.8
201009,59.2
201010,51.8
201011,32.8
201012,13.4
201101,8.4
201102,15.5
201103,26.2
201104,44.4
201105,56.5
201106,67.7
201107,76.4
201108,70.5
201109,60.7
201110,52.4
201111,36.2
201112,25.1
201201,22.4
201202,26.0
201203,46.1
201204,49.2
201205,62.8
201206,70.2
201207,78.2
201208,69.3
201209,60.9
201210,46.1
201211,35.1
201212,20.1
201301,15.2
201302,16.1
201303,23.5
201304,38.0
201305,55.8
201306,67.1
201307,72.5
201308,70.8
201309,65.2
201310,47.8
201311,30.4
201312,11.0
201401,7.6
201402,7.6
201403,24.1
201404,42.4
201405,56.9
201406,68.6
201407,69.6
201408,71.0
201409,61.5
201410,48.4
201411,23.9
201412,23.2
201501,17.4
201502,10.8
201503,33.5
201504,47.4
201505,56.4
201506,68.1
201507,70.5
201508,67.8
201509,66.2
201510,50.3
201511,38.6
201512,26.2
201601,16.0
201602,24.6
201603,39.4
201604,48.0
201605,59.2
201606,69.8
201607,72.0
201608,70.5
201609,64.4
201610,51.0
201611,42.6
201612,17.6
