Polk County, Missouri, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,27.6
201002,30.7
201003,44.7
201004,60.6
201005,64.4
201006,77.8
201007,79.9
201008,79.8
201009,69.8
201010,58.6
201011,47.6
201012,32.1
201101,29.7
201102,34.4
201103,46.8
201104,57.9
201105,63.0
201106,77.3
201107,84.3
201108,79.2
201109,65.4
201110,57.4
201111,48.2
201112,38.2
201201,37.8
201202,41.1
201203,57.9
201204,60.1
201205,69.2
201206,74.7
201207,83.8
201208,76.5
201209,67.8
201210,54.6
201211,46.6
201212,40.6
201301,35.9
201302,36.6
201303,40.6
201304,52.9
201305,63.3
201306,73.2
201307,75.8
201308,74.8
201309,70.8
201310,56.1
201311,43.1
201312,31.8
201401,28.3
201402,29.6
201403,40.5
201404,56.0
201405,65.4
201406,73.5
201407,73.5
201408,78.0
201409,68.5
201410,59.3
201411,39.3
201412,38.4
201501,33.0
201502,29.0
201503,45.6
201504,57.8
201505,65.2
201506,75.0
201507,78.3
201508,73.7
201509,71.9
201510,57.7
201511,48.8
201512,43.4
201601,33.4
201602,41.0
201603,51.1
201604,58.3
201605,62.3
201606,76.8
201607,79.3
201608,77.5
201609,71.8
201610,63.3
201611,51.8
201612,34.3
