Scott County, Missouri, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,31.3
201002,33.6
201003,48.2
201004,61.9
201005,69.7
201006,81.8
201007,81.9
201008,81.1
201009,71.9
201010,60.1
201011,48.6
201012,31.6
201101,31.2
201102,38.8
201103,48.2
201104,60.5
201105,66.5
201106,79.5
201107,83.0
201108,78.7
201109,66.8
201110,58.6
201111,50.6
201112,40.9
201201,40.0
201202,42.9
201203,60.4
201204,60.9
201205,73.1
201206,76.6
201207,84.3
201208,78.3
201209,69.3
201210,56.7
201211,45.6
201212,43.9
201301,37.6
201302,39.1
201303,41.7
201304,56.0
201305,66.4
201306,76.1
201307,75.8
201308,75.7
201309,72.4
201310,59.0
201311,44.2
201312,35.3
201401,29.4
201402,31.9
201403,42.0
201404,58.5
201405,68.6
201406,76.7
201407,74.3
201408,78.0
201409,68.8
201410,60.2
201411,40.4
201412,40.5
201501,33.9
201502,27.9
201503,44.6
201504,60.0
201505,67.9
201506,76.9
201507,80.2
201508,75.2
201509,71.7
201510,59.1
201511,51.4
201512,47.4
201601,34.4
201602,40.6
201603,52.9
201604,59.3
201605,65.6
201606,78.5
201607,80.6
201608,78.8
201609,73.5
201610,64.4
201611,51.7
201612,36.8
