Panola County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,37.5
201002,38.0
201003,50.9
201004,63.8
201005,72.8
201006,82.5
201007,82.6
201008,84.4
201009,76.4
201010,64.0
201011,54.3
201012,39.9
201101,38.7
201102,47.1
201103,55.4
201104,65.7
201105,69.7
201106,82.3
201107,83.7
201108,82.9
201109,71.2
201110,59.8
201111,55.0
201112,44.5
201201,47.1
201202,49.1
201203,64.8
201204,65.2
201205,74.4
201206,77.6
201207,83.2
201208,79.9
201209,74.7
201210,60.2
201211,50.0
201212,49.5
201301,44.9
201302,45.2
201303,47.4
201304,60.1
201305,67.7
201306,78.2
201307,78.1
201308,79.3
201309,75.9
201310,63.1
201311,48.7
201312,42.6
201401,34.6
201402,41.6
201403,47.3
201404,60.6
201405,69.8
201406,78.2
201407,76.2
201408,79.0
201409,74.9
201410,64.9
201411,45.8
201412,47.1
201501,40.0
201502,37.1
201503,53.9
201504,64.9
201505,71.6
201506,79.4
201507,82.7
201508,78.6
201509,75.1
201510,65.3
201511,57.0
201512,53.6
201601,40.2
201602,47.9
201603,58.0
201604,63.5
201605,69.2
201606,80.3
201607,82.6
201608,81.9
201609,78.4
201610,68.7
201611,56.4
201612,44.3
