Camden County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,37.6
201002,37.5
201003,51.0
201004,61.3
201005,69.9
201006,79.9
201007,80.6
201008,79.1
201009,73.7
201010,62.9
201011,51.1
201012,34.6
201101,36.6
201102,45.8
201103,49.2
201104,62.2
201105,68.2
201106,77.3
201107,81.0
201108,78.8
201109,73.2
201110,60.9
201111,54.2
201112,48.9
201201,44.8
201202,45.6
201203,57.9
201204,58.2
201205,69.4
201206,73.1
201207,81.5
201208,77.9
201209,71.6
201210,62.4
201211,47.4
201212,48.9
201301,42.6
201302,42.0
201303,44.7
201304,59.0
201305,66.5
201306,75.8
201307,79.2
201308,75.9
201309,70.0
201310,63.4
201311,50.8
201312,46.5
201401,36.9
201402,41.6
201403,46.0
201404,58.3
201405,69.6
201406,75.2
201407,76.9
201408,75.6
201409,73.1
201410,64.2
201411,48.4
201412,46.2
201501,40.3
201502,33.4
201503,47.6
201504,59.6
201505,68.8
201506,77.8
201507,79.0
201508,76.9
201509,74.5
201510,62.8
201511,56.7
201512,56.9
201601,40.0
201602,43.8
201603,54.8
201604,57.3
201605,65.3
201606,74.9
201607,81.2
201608,80.4
201609,75.6
201610,65.1
201611,51.4
201612,44.8
