Person County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,35.5
201002,35.4
201003,49.9
201004,61.1
201005,68.7
201006,78.7
201007,79.0
201008,77.7
201009,72.3
201010,59.2
201011,47.2
201012,32.2
201101,34.2
201102,43.2
201103,48.4
201104,60.1
201105,66.4
201106,76.2
201107,79.3
201108,77.0
201109,70.2
201110,56.6
201111,50.3
201112,43.9
201201,41.2
201202,43.4
201203,56.2
201204,56.5
201205,68.5
201206,71.3
201207,80.2
201208,75.1
201209,68.0
201210,57.7
201211,44.2
201212,45.4
201301,41.2
201302,39.2
201303,42.6
201304,58.2
201305,63.1
201306,73.9
201307,76.7
201308,73.2
201309,68.0
201310,59.2
201311,45.5
201312,42.8
201401,33.1
201402,41.1
201403,42.9
201404,57.5
201405,67.0
201406,75.2
201407,76.1
201408,73.3
201409,70.6
201410,60.4
201411,44.0
201412,43.4
201501,36.8
201502,32.3
201503,47.3
201504,58.3
201505,68.3
201506,76.3
201507,77.3
201508,75.2
201509,70.6
201510,57.7
201511,52.8
201512,51.9
201601,36.1
201602,41.6
201603,55.0
201604,57.4
201605,64.6
201606,73.9
201607,79.2
201608,78.8
201609,73.1
201610,61.6
201611,50.0
201612,42.1
