Wilson County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,38.0
201002,38.3
201003,51.3
201004,62.6
201005,71.0
201006,80.9
201007,81.0
201008,79.7
201009,75.0
201010,62.3
201011,51.1
201012,34.7
201101,37.4
201102,46.1
201103,51.2
201104,62.3
201105,68.8
201106,78.7
201107,82.0
201108,78.9
201109,73.0
201110,59.6
201111,54.3
201112,48.2
201201,44.6
201202,46.4
201203,59.0
201204,59.2
201205,70.7
201206,72.8
201207,82.2
201208,77.0
201209,70.6
201210,60.9
201211,46.5
201212,49.0
201301,43.7
201302,42.3
201303,44.5
201304,60.8
201305,67.2
201306,76.0
201307,79.2
201308,76.2
201309,70.4
201310,61.6
201311,49.0
201312,46.5
201401,37.4
201402,43.5
201403,45.6
201404,60.2
201405,70.3
201406,76.6
201407,77.3
201408,75.0
201409,72.5
201410,62.4
201411,47.3
201412,45.1
201501,40.2
201502,35.5
201503,50.9
201504,61.2
201505,70.2
201506,79.2
201507,80.1
201508,77.7
201509,73.6
201510,60.4
201511,55.7
201512,56.4
201601,39.6
201602,44.6
201603,58.0
201604,59.8
201605,67.4
201606,76.4
201607,81.5
201608,81.1
201609,74.8
201610,64.5
201611,52.4
201612,44.0
