McLean County, North Dakota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,10.8
201002,10.0
201003,30.8
201004,46.7
201005,51.6
201006,62.8
201007,68.5
201008,69.0
201009,55.0
201010,48.1
201011,27.8
201012,10.7
201101,7.9
201102,11.1
201103,19.2
201104,38.0
201105,51.1
201106,62.3
201107,70.7
201108,68.6
201109,58.8
201110,48.4
201111,31.1
201112,24.0
201201,22.0
201202,22.4
201203,41.5
201204,46.1
201205,54.3
201206,64.7
201207,73.4
201208,68.3
201209,59.0
201210,41.2
201211,28.2
201212,13.9
201301,12.4
201302,18.8
201303,17.4
201304,31.5
201305,52.9
201306,63.1
201307,68.5
201308,69.0
201309,62.4
201310,41.8
201311,25.9
201312,6.0
201401,9.8
201402,6.2
201403,23.5
201404,38.4
201405,53.9
201406,62.4
201407,66.7
201408,67.4
201409,58.5
201410,46.7
201411,20.5
201412,18.7
201501,17.3
201502,8.5
201503,32.9
201504,44.2
201505,53.2
201506,65.2
201507,70.3
201508,68.8
201509,62.3
201510,48.2
201511,33.4
201512,22.9
201601,16.3
201602,28.0
201603,36.7
201604,42.0
201605,57.2
201606,66.1
201607,70.0
201608,68.8
201609,58.8
201610,46.3
201611,39.8
201612,10.2
