Dawson County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.2
201002,25.0
201003,40.6
201004,51.8
201005,56.6
201006,70.0
201007,75.0
201008,74.6
201009,64.6
201010,53.9
201011,36.8
201012,26.5
201101,20.9
201102,26.6
201103,37.9
201104,48.5
201105,56.8
201106,69.0
201107,77.3
201108,74.0
201109,60.0
201110,52.7
201111,37.9
201112,28.2
201201,31.7
201202,30.7
201203,51.5
201204,53.7
201205,63.0
201206,73.7
201207,79.4
201208,72.6
201209,63.9
201210,48.6
201211,39.5
201212,27.2
201301,25.9
201302,29.9
201303,36.2
201304,43.8
201305,59.3
201306,70.0
201307,73.0
201308,74.7
201309,69.2
201310,50.4
201311,36.7
201312,25.1
201401,27.2
201402,22.2
201403,37.0
201404,49.6
201405,59.0
201406,69.4
201407,71.7
201408,73.3
201409,63.6
201410,54.2
201411,33.7
201412,28.7
201501,28.3
201502,27.6
201503,44.0
201504,51.4
201505,56.8
201506,70.2
201507,74.3
201508,70.9
201509,69.9
201510,54.7
201511,40.8
201512,30.9
201601,28.4
201602,35.5
201603,44.3
201604,50.9
201605,57.4
201606,73.2
201607,74.6
201608,72.3
201609,65.4
201610,56.3
201611,44.8
201612,25.2
