Camden County, New Jersey, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.0
201002,31.6
201003,47.8
201004,57.2
201005,65.8
201006,76.0
201007,79.7
201008,76.7
201009,70.9
201010,57.4
201011,46.2
201012,32.0
201101,28.7
201102,37.2
201103,42.8
201104,56.1
201105,65.6
201106,73.8
201107,80.5
201108,74.5
201109,70.4
201110,56.6
201111,50.5
201112,42.4
201201,37.7
201202,40.5
201203,51.5
201204,54.1
201205,66.8
201206,71.5
201207,79.6
201208,76.4
201209,68.5
201210,58.2
201211,42.5
201212,42.4
201301,35.6
201302,34.8
201303,39.9
201304,53.4
201305,62.8
201306,73.0
201307,79.2
201308,72.6
201309,65.8
201310,58.6
201311,44.3
201312,37.9
201401,28.4
201402,31.9
201403,37.7
201404,52.4
201405,63.4
201406,72.4
201407,75.7
201408,72.1
201409,67.9
201410,58.2
201411,43.5
201412,40.3
201501,30.2
201502,24.7
201503,38.1
201504,53.3
201505,68.1
201506,72.3
201507,76.8
201508,75.8
201509,72.0
201510,55.9
201511,51.2
201512,50.2
201601,33.2
201602,37.6
201603,49.0
201604,52.1
201605,61.2
201606,72.6
201607,79.0
201608,78.7
201609,71.4
201610,58.4
201611,48.0
201612,37.9
