Santa Fe County, New Mexico, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.3
201002,30.8
201003,38.5
201004,47.8
201005,55.5
201006,68.1
201007,69.9
201008,68.1
201009,64.7
201010,52.3
201011,36.7
201012,35.3
201101,29.6
201102,29.4
201103,44.4
201104,49.8
201105,53.8
201106,68.6
201107,72.6
201108,71.3
201109,61.2
201110,50.2
201111,39.0
201112,26.3
201201,33.7
201202,33.3
201203,43.2
201204,51.6
201205,58.8
201206,70.6
201207,70.5
201208,69.6
201209,62.1
201210,52.1
201211,41.5
201212,29.6
201301,26.5
201302,31.7
201303,42.1
201304,48.2
201305,56.4
201306,69.6
201307,69.2
201308,68.4
201309,61.5
201310,47.7
201311,37.2
201312,29.2
201401,32.2
201402,37.8
201403,41.5
201404,46.9
201405,54.9
201406,67.7
201407,69.9
201408,65.7
201409,63.6
201410,53.3
201411,38.2
201412,32.7
201501,32.0
201502,36.2
201503,44.3
201504,47.9
201505,53.2
201506,67.6
201507,68.3
201508,68.8
201509,64.6
201510,53.0
201511,39.1
201512,30.9
201601,29.2
201602,37.9
201603,43.6
201604,47.4
201605,54.5
201606,69.4
201607,73.2
201608,65.4
201609,62.1
201610,55.1
201611,41.9
201612,33.1
