Torrance County, New Mexico, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,31.0
201002,32.4
201003,40.0
201004,50.3
201005,56.9
201006,70.2
201007,70.5
201008,69.6
201009,66.2
201010,54.0
201011,39.8
201012,38.3
201101,32.1
201102,30.5
201103,46.9
201104,53.4
201105,56.0
201106,70.9
201107,74.1
201108,72.8
201109,62.8
201110,52.2
201111,40.8
201112,26.3
201201,35.6
201202,35.0
201203,44.8
201204,53.8
201205,60.6
201206,71.8
201207,71.5
201208,70.9
201209,63.2
201210,54.1
201211,43.7
201212,33.5
201301,29.5
201302,33.4
201303,43.8
201304,49.8
201305,58.5
201306,71.6
201307,69.8
201308,69.1
201309,62.7
201310,49.0
201311,39.0
201312,31.4
201401,33.9
201402,40.0
201403,43.5
201404,49.3
201405,56.9
201406,70.2
201407,71.4
201408,66.8
201409,63.9
201410,55.0
201411,39.0
201412,35.0
201501,32.5
201502,38.7
201503,45.2
201504,49.5
201505,55.3
201506,69.2
201507,70.3
201508,70.5
201509,66.3
201510,54.0
201511,40.8
201512,33.9
201601,29.9
201602,39.9
201603,45.9
201604,49.5
201605,55.6
201606,69.8
201607,74.1
201608,67.2
201609,63.8
201610,57.1
201611,43.7
201612,36.0
