Douglas County, Nevada, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.8
201002,36.8
201003,38.4
201004,40.4
201005,45.8
201006,60.7
201007,69.4
201008,65.3
201009,60.9
201010,50.3
201011,37.4
201012,35.6
201101,34.6
201102,31.7
201103,38.5
201104,42.0
201105,47.4
201106,57.5
201107,66.5
201108,66.9
201109,63.5
201110,51.3
201111,38.5
201112,31.6
201201,37.0
201202,34.6
201203,39.7
201204,46.5
201205,54.3
201206,61.2
201207,69.2
201208,71.0
201209,64.7
201210,52.8
201211,42.0
201212,30.7
201301,28.6
201302,33.9
201303,43.3
201304,46.8
201305,52.7
201306,63.9
201307,71.6
201308,66.5
201309,60.3
201310,47.3
201311,41.0
201312,30.1
201401,37.9
201402,39.0
201403,41.9
201404,46.7
201405,54.0
201406,62.8
201407,71.7
201408,66.3
201409,62.6
201410,54.0
201411,42.5
201412,35.6
201501,38.2
201502,42.9
201503,46.1
201504,45.4
201505,52.3
201506,65.8
201507,66.4
201508,68.4
201509,62.8
201510,54.4
201511,34.7
201512,31.3
201601,33.4
201602,39.9
201603,42.3
201604,47.6
201605,52.2
201606,65.0
201607,69.3
201608,69.1
201609,60.6
201610,50.3
201611,42.2
201612,33.2
