Lincoln County, Nevada, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.6
201002,39.0
201003,44.2
201004,49.1
201005,55.3
201006,71.3
201007,79.5
201008,74.8
201009,69.2
201010,57.1
201011,41.9
201012,40.2
201101,36.6
201102,36.9
201103,45.3
201104,50.5
201105,55.9
201106,68.5
201107,75.7
201108,76.8
201109,69.6
201110,56.8
201111,41.8
201112,36.2
201201,39.2
201202,39.2
201203,46.2
201204,54.4
201205,64.1
201206,72.7
201207,76.2
201208,77.3
201209,69.9
201210,58.0
201211,48.1
201212,35.6
201301,32.6
201302,37.3
201303,49.9
201304,53.7
201305,61.5
201306,74.8
201307,79.4
201308,74.7
201309,66.0
201310,52.7
201311,45.4
201312,34.7
201401,42.0
201402,42.9
201403,48.2
201404,54.0
201405,62.1
201406,72.8
201407,79.6
201408,73.4
201409,70.1
201410,60.0
201411,46.3
201412,39.2
201501,41.9
201502,46.7
201503,51.8
201504,52.9
201505,59.2
201506,75.2
201507,75.0
201508,77.2
201509,71.2
201510,60.4
201511,40.8
201512,34.3
201601,35.2
201602,42.4
201603,48.3
201604,53.0
201605,59.4
201606,75.9
201607,78.1
201608,75.6
201609,66.8
201610,58.4
201611,47.4
201612,35.4
