Onondaga County, New York, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,22.1
201002,24.5
201003,38.6
201004,49.9
201005,59.5
201006,65.8
201007,72.4
201008,69.3
201009,61.2
201010,49.7
201011,39.0
201012,24.0
201101,20.0
201102,22.4
201103,31.4
201104,45.4
201105,58.9
201106,65.6
201107,72.4
201108,68.5
201109,63.3
201110,50.2
201111,44.6
201112,33.0
201201,28.4
201202,31.0
201203,44.8
201204,43.5
201205,62.0
201206,66.2
201207,73.1
201208,70.0
201209,61.2
201210,52.0
201211,37.4
201212,33.3
201301,25.8
201302,24.0
201303,31.5
201304,44.3
201305,58.6
201306,64.7
201307,72.1
201308,67.2
201309,59.3
201310,52.0
201311,35.8
201312,26.4
201401,17.8
201402,19.6
201403,24.4
201404,44.2
201405,58.0
201406,66.2
201407,68.6
201408,66.5
201409,61.2
201410,52.8
201411,36.9
201412,31.0
201501,16.7
201502,9.7
201503,25.2
201504,44.0
201505,62.2
201506,63.8
201507,68.6
201508,68.4
201509,66.2
201510,48.5
201511,44.2
201512,39.9
201601,24.7
201602,27.1
201603,38.1
201604,40.9
201605,56.4
201606,64.7
201607,71.4
201608,72.4
201609,63.6
201610,51.0
201611,40.9
201612,28.3
