Lincoln County, Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,35.3
201002,36.4
201003,49.7
201004,63.0
201005,67.8
201006,80.6
201007,82.5
201008,84.2
201009,75.1
201010,62.8
201011,51.7
201012,40.0
201101,35.3
201102,39.4
201103,52.8
201104,63.0
201105,67.3
201106,83.6
201107,90.2
201108,88.2
201109,70.9
201110,62.4
201111,50.7
201112,41.1
201201,43.0
201202,44.4
201203,60.9
201204,65.0
201205,72.6
201206,78.2
201207,86.4
201208,82.6
201209,74.8
201210,60.0
201211,52.6
201212,42.9
201301,40.3
201302,41.4
201303,47.8
201304,54.7
201305,66.1
201306,77.2
201307,79.3
201308,80.0
201309,76.0
201310,60.7
201311,47.1
201312,34.9
201401,36.3
201402,36.4
201403,46.7
201404,60.6
201405,69.7
201406,77.1
201407,78.0
201408,81.0
201409,74.0
201410,65.7
201411,44.8
201412,42.4
201501,37.8
201502,37.6
201503,51.6
201504,62.0
201505,66.4
201506,78.5
201507,81.8
201508,78.6
201509,76.7
201510,63.2
201511,52.0
201512,45.4
201601,37.9
201602,48.2
201603,55.4
201604,62.0
201605,66.5
201606,79.4
201607,83.0
201608,81.4
201609,75.8
201610,67.7
201611,56.5
201612,38.8
