Washington County, Rhode Island, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.1
201002,31.7
201003,43.6
201004,51.9
201005,60.7
201006,68.9
201007,74.9
201008,70.9
201009,65.9
201010,53.9
201011,43.7
201012,31.1
201101,26.0
201102,29.6
201103,38.5
201104,48.8
201105,58.6
201106,66.1
201107,73.6
201108,71.2
201109,66.8
201110,55.7
201111,48.0
201112,39.9
201201,34.3
201202,36.2
201203,45.5
201204,49.8
201205,60.4
201206,65.9
201207,73.8
201208,72.8
201209,64.0
201210,56.2
201211,41.3
201212,38.5
201301,31.3
201302,30.7
201303,37.4
201304,47.6
201305,58.1
201306,67.8
201307,76.3
201308,69.2
201309,62.6
201310,54.8
201311,42.1
201312,34.1
201401,26.9
201402,27.8
201403,33.6
201404,47.1
201405,57.8
201406,66.1
201407,72.4
201408,68.6
201409,64.9
201410,56.2
201411,42.4
201412,38.2
201501,26.6
201502,19.0
201503,32.4
201504,47.3
201505,60.4
201506,64.6
201507,72.4
201508,72.7
201509,67.8
201510,53.0
201511,47.8
201512,46.3
201601,32.2
201602,33.6
201603,43.2
201604,46.2
201605,57.6
201606,66.4
201607,73.6
201608,74.1
201609,66.9
201610,55.6
201611,45.7
201612,35.3
