Greenwood County, South Carolina, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,39.5
201002,39.6
201003,51.0
201004,64.0
201005,73.0
201006,81.6
201007,82.8
201008,81.6
201009,75.9
201010,62.8
201011,52.4
201012,37.3
201101,38.9
201102,48.8
201103,54.3
201104,63.9
201105,70.3
201106,80.2
201107,82.8
201108,81.7
201109,73.4
201110,59.8
201111,53.5
201112,48.6
201201,47.1
201202,48.9
201203,62.9
201204,63.8
201205,72.6
201206,74.6
201207,82.6
201208,77.6
201209,72.8
201210,62.8
201211,50.3
201212,50.0
201301,48.7
201302,44.7
201303,47.2
201304,61.2
201305,66.7
201306,76.8
201307,78.1
201308,76.4
201309,72.5
201310,62.9
201311,49.6
201312,47.7
201401,37.7
201402,46.8
201403,49.0
201404,62.1
201405,70.6
201406,78.1
201407,78.6
201408,77.4
201409,73.5
201410,63.5
201411,47.7
201412,47.6
201501,42.1
201502,39.8
201503,55.3
201504,64.0
201505,71.5
201506,79.6
201507,81.7
201508,79.3
201509,72.6
201510,61.4
201511,55.6
201512,56.5
201601,41.9
201602,47.0
201603,59.2
201604,62.5
201605,69.2
201606,79.9
201607,83.9
201608,82.0
201609,76.8
201610,65.5
201611,54.6
201612,46.9
