Campbell County, South Dakota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,9.4
201002,9.9
201003,34.2
201004,48.7
201005,53.6
201006,65.7
201007,71.5
201008,72.9
201009,57.0
201010,49.4
201011,29.4
201012,12.4
201101,8.4
201102,11.3
201103,21.2
201104,40.6
201105,51.8
201106,63.6
201107,74.5
201108,70.6
201109,58.5
201110,50.1
201111,32.3
201112,24.7
201201,22.3
201202,22.4
201203,44.2
201204,48.2
201205,56.7
201206,68.3
201207,76.8
201208,68.5
201209,60.8
201210,44.1
201211,30.9
201212,18.1
201301,14.8
201302,20.8
201303,23.1
201304,35.0
201305,55.3
201306,64.9
201307,70.4
201308,70.8
201309,64.2
201310,42.3
201311,28.9
201312,9.0
201401,13.2
201402,8.8
201403,26.7
201404,41.3
201405,55.2
201406,63.3
201407,68.4
201408,67.7
201409,59.7
201410,48.4
201411,22.0
201412,20.4
201501,19.0
201502,13.4
201503,35.9
201504,46.7
201505,53.2
201506,66.4
201507,71.4
201508,69.1
201509,64.7
201510,50.2
201511,35.0
201512,22.4
201601,16.7
201602,28.2
201603,38.4
201604,44.2
201605,56.4
201606,68.7
201607,71.9
201608,69.8
201609,60.2
201610,49.6
201611,40.1
201612,11.3
