Charles Mix County, South Dakota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,16.2
201002,16.8
201003,39.2
201004,52.7
201005,57.7
201006,69.7
201007,75.5
201008,76.0
201009,61.6
201010,53.5
201011,36.0
201012,20.9
201101,14.6
201102,21.8
201103,32.1
201104,46.5
201105,57.0
201106,67.9
201107,79.5
201108,73.5
201109,61.4
201110,54.5
201111,38.2
201112,29.3
201201,27.7
201202,28.5
201203,50.6
201204,53.9
201205,62.0
201206,73.6
201207,83.0
201208,74.6
201209,65.3
201210,48.6
201211,37.3
201212,24.3
201301,23.1
201302,25.5
201303,30.1
201304,40.0
201305,58.5
201306,68.0
201307,73.5
201308,73.6
201309,68.8
201310,48.5
201311,34.3
201312,17.0
201401,20.3
201402,17.0
201403,31.3
201404,47.9
201405,58.1
201406,68.4
201407,71.6
201408,71.1
201409,62.7
201410,52.9
201411,28.7
201412,25.1
201501,24.0
201502,20.7
201503,40.4
201504,51.2
201505,57.4
201506,70.2
201507,74.0
201508,71.2
201509,68.6
201510,54.0
201511,39.1
201512,27.2
201601,21.3
201602,33.1
201603,42.0
201604,48.9
201605,59.3
201606,73.3
201607,74.9
201608,73.4
201609,65.1
201610,53.5
201611,44.4
201612,20.2
