Harding County, South Dakota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,15.5
201002,13.5
201003,34.5
201004,44.9
201005,50.0
201006,62.1
201007,68.8
201008,69.4
201009,56.8
201010,49.7
201011,28.1
201012,16.4
201101,13.8
201102,14.3
201103,25.7
201104,41.2
201105,49.6
201106,61.4
201107,72.1
201108,69.5
201109,59.2
201110,49.0
201111,32.4
201112,26.0
201201,25.4
201202,23.8
201203,45.0
201204,48.0
201205,54.4
201206,68.5
201207,76.6
201208,69.5
201209,61.1
201210,43.2
201211,35.2
201212,21.4
201301,20.6
201302,28.0
201303,30.0
201304,36.6
201305,54.5
201306,62.4
201307,70.4
201308,70.2
201309,62.8
201310,41.2
201311,31.4
201312,13.8
201401,21.0
201402,13.4
201403,28.3
201404,40.8
201405,53.5
201406,59.9
201407,68.2
201408,68.0
201409,57.5
201410,48.1
201411,24.8
201412,25.1
201501,24.0
201502,22.4
201503,39.8
201504,44.0
201505,50.0
201506,65.3
201507,70.0
201508,68.7
201509,63.4
201510,48.3
201511,32.5
201512,24.0
201601,22.3
201602,33.6
201603,39.7
201604,45.2
201605,54.4
201606,69.6
201607,72.9
201608,69.2
201609,60.4
201610,49.2
201611,40.7
201612,12.7
