Morgan County, Tennessee, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,31.0
201002,31.5
201003,44.6
201004,58.6
201005,66.6
201006,75.3
201007,77.1
201008,77.1
201009,68.6
201010,56.9
201011,48.0
201012,29.6
201101,32.4
201102,41.7
201103,49.1
201104,58.4
201105,63.8
201106,73.1
201107,77.0
201108,75.1
201109,66.2
201110,54.7
201111,48.9
201112,41.9
201201,39.3
201202,42.1
201203,58.2
201204,58.2
201205,68.1
201206,70.5
201207,77.8
201208,72.2
201209,66.5
201210,54.4
201211,44.3
201212,43.8
201301,39.2
201302,38.4
201303,40.1
201304,54.8
201305,62.6
201306,71.6
201307,72.5
201308,72.3
201309,68.0
201310,57.5
201311,43.0
201312,39.6
201401,27.8
201402,38.2
201403,44.3
201404,57.6
201405,65.2
201406,72.5
201407,71.6
201408,73.4
201409,69.1
201410,57.7
201411,41.2
201412,41.7
201501,34.4
201502,29.3
201503,48.0
201504,58.0
201505,67.0
201506,73.8
201507,75.5
201508,72.1
201509,68.7
201510,58.0
201511,51.9
201512,50.7
201601,32.4
201602,40.0
201603,52.3
201604,57.5
201605,63.2
201606,73.7
201607,77.3
201608,77.0
201609,72.2
201610,62.6
201611,51.1
201612,39.7
