Armstrong County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.4
201002,34.4
201003,48.6
201004,58.9
201005,65.7
201006,79.7
201007,77.9
201008,80.1
201009,74.6
201010,62.2
201011,48.0
201012,41.7
201101,36.7
201102,38.0
201103,52.6
201104,61.9
201105,68.1
201106,83.9
201107,86.6
201108,86.3
201109,71.7
201110,60.8
201111,48.9
201112,36.1
201201,43.0
201202,41.3
201203,57.1
201204,64.4
201205,71.1
201206,79.1
201207,83.0
201208,80.2
201209,71.6
201210,58.1
201211,52.7
201212,42.1
201301,38.8
201302,40.5
201303,50.3
201304,54.1
201305,68.9
201306,79.1
201307,78.5
201308,79.8
201309,74.6
201310,59.7
201311,46.3
201312,36.3
201401,37.6
201402,37.9
201403,47.4
201404,58.7
201405,68.3
201406,76.0
201407,77.1
201408,79.1
201409,70.7
201410,62.8
201411,44.7
201412,41.2
201501,37.2
201502,41.0
201503,51.2
201504,60.2
201505,63.6
201506,75.9
201507,79.4
201508,78.1
201509,76.0
201510,63.1
201511,49.0
201512,42.7
201601,38.9
201602,47.0
201603,54.3
201604,59.2
201605,64.9
201606,77.3
201607,83.1
201608,77.5
201609,72.3
201610,65.7
201611,54.3
201612,39.4
