Calhoun County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,52.1
201002,51.5
201003,61.3
201004,70.2
201005,79.0
201006,83.4
201007,83.8
201008,86.1
201009,80.4
201010,72.3
201011,63.7
201012,57.6
201101,54.4
201102,57.0
201103,68.2
201104,73.2
201105,77.1
201106,83.9
201107,86.0
201108,87.2
201109,83.0
201110,73.9
201111,65.9
201112,57.5
201201,59.8
201202,60.8
201203,68.7
201204,73.8
201205,78.1
201206,83.0
201207,83.0
201208,84.5
201209,80.7
201210,73.5
201211,66.3
201212,61.5
201301,57.3
201302,61.8
201303,63.3
201304,67.8
201305,76.2
201306,83.9
201307,84.0
201308,84.5
201309,81.7
201310,73.8
201311,61.4
201312,53.9
201401,52.6
201402,55.7
201403,60.0
201404,70.4
201405,74.9
201406,83.2
201407,84.1
201408,86.0
201409,81.0
201410,75.7
201411,60.8
201412,60.2
201501,51.3
201502,55.6
201503,62.9
201504,72.8
201505,78.2
201506,82.6
201507,85.6
201508,85.2
201509,81.3
201510,75.3
201511,67.7
201512,62.0
201601,54.3
201602,61.8
201603,68.0
201604,71.6
201605,77.1
201606,82.2
201607,85.6
201608,84.2
201609,82.4
201610,76.8
201611,70.2
201612,60.0
