Colorado County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,48.8
201002,48.2
201003,59.2
201004,68.4
201005,78.5
201006,83.2
201007,83.5
201008,86.4
201009,79.9
201010,70.0
201011,61.1
201012,54.5
201101,50.6
201102,55.0
201103,66.4
201104,73.9
201105,77.5
201106,84.8
201107,87.0
201108,89.2
201109,82.4
201110,70.4
201111,63.3
201112,53.9
201201,56.6
201202,58.1
201203,67.8
201204,72.6
201205,77.6
201206,82.7
201207,83.4
201208,85.6
201209,79.6
201210,69.7
201211,63.1
201212,58.0
201301,54.0
201302,59.1
201303,60.8
201304,66.9
201305,74.7
201306,83.5
201307,84.2
201308,85.0
201309,81.8
201310,71.0
201311,58.4
201312,50.6
201401,49.3
201402,54.5
201403,58.2
201404,68.6
201405,73.4
201406,82.0
201407,83.5
201408,85.6
201409,80.9
201410,74.0
201411,56.8
201412,56.9
201501,48.9
201502,53.1
201503,60.8
201504,71.8
201505,76.4
201506,81.0
201507,84.8
201508,85.4
201509,80.2
201510,73.2
201511,63.5
201512,58.3
201601,52.0
201602,60.2
201603,65.5
201604,70.3
201605,75.5
201606,82.4
201607,86.8
201608,84.6
201609,82.5
201610,75.6
201611,68.3
201612,57.6
