Crockett County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,44.8
201002,45.8
201003,54.7
201004,64.5
201005,74.0
201006,83.3
201007,79.4
201008,83.8
201009,77.8
201010,67.9
201011,56.5
201012,48.7
201101,45.4
201102,49.1
201103,64.3
201104,72.3
201105,75.8
201106,85.3
201107,86.0
201108,86.8
201109,77.8
201110,66.5
201111,55.9
201112,44.6
201201,48.3
201202,51.5
201203,61.7
201204,70.8
201205,74.6
201206,83.1
201207,82.3
201208,83.1
201209,75.2
201210,64.7
201211,58.2
201212,49.8
201301,47.8
201302,51.7
201303,59.0
201304,65.1
201305,73.5
201306,81.2
201307,79.9
201308,82.9
201309,76.2
201310,65.9
201311,51.0
201312,44.4
201401,44.6
201402,49.7
201403,56.2
201404,66.8
201405,73.2
201406,80.2
201407,82.0
201408,82.2
201409,75.6
201410,69.7
201411,51.3
201412,52.2
201501,42.6
201502,48.6
201503,55.9
201504,67.2
201505,72.1
201506,77.5
201507,82.9
201508,84.1
201509,78.8
201510,69.5
201511,57.0
201512,49.8
201601,45.8
201602,54.1
201603,61.3
201604,66.6
201605,72.1
201606,78.8
201607,85.4
201608,81.8
201609,76.7
201610,70.8
201611,60.3
201612,50.3
