Hemphill County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.8
201002,33.7
201003,47.2
201004,59.6
201005,65.8
201006,79.5
201007,79.8
201008,81.2
201009,74.7
201010,61.7
201011,47.0
201012,38.7
201101,34.5
201102,36.3
201103,50.2
201104,59.8
201105,67.0
201106,83.0
201107,87.9
201108,85.5
201109,70.3
201110,59.3
201111,46.9
201112,35.2
201201,41.7
201202,40.4
201203,58.3
201204,62.9
201205,71.9
201206,79.4
201207,84.9
201208,79.9
201209,72.2
201210,57.7
201211,51.5
201212,40.0
201301,37.5
201302,37.6
201303,47.0
201304,52.4
201305,67.0
201306,78.9
201307,79.2
201308,79.4
201309,74.4
201310,59.0
201311,45.6
201312,34.3
201401,36.5
201402,33.8
201403,45.2
201404,58.7
201405,68.3
201406,75.6
201407,77.2
201408,79.9
201409,71.5
201410,63.0
201411,43.0
201412,39.7
201501,37.0
201502,38.1
201503,50.1
201504,59.6
201505,62.7
201506,76.6
201507,80.9
201508,78.1
201509,76.8
201510,62.3
201511,48.9
201512,41.1
201601,36.9
201602,46.1
201603,53.6
201604,59.6
201605,64.5
201606,77.5
201607,82.8
201608,78.8
201609,73.4
201610,65.3
201611,53.2
201612,36.0
