Motley County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,38.5
201002,37.9
201003,51.5
201004,61.3
201005,68.8
201006,81.4
201007,79.2
201008,82.3
201009,75.3
201010,65.1
201011,51.6
201012,44.0
201101,39.2
201102,42.0
201103,55.8
201104,66.0
201105,71.4
201106,87.0
201107,88.7
201108,89.2
201109,73.8
201110,63.0
201111,51.4
201112,39.9
201201,45.8
201202,45.2
201203,60.0
201204,68.6
201205,76.0
201206,81.7
201207,84.8
201208,82.4
201209,74.4
201210,61.1
201211,56.3
201212,44.8
201301,41.5
201302,44.2
201303,53.6
201304,57.5
201305,71.4
201306,81.0
201307,80.2
201308,81.9
201309,76.6
201310,63.4
201311,49.1
201312,39.0
201401,40.3
201402,38.9
201403,49.4
201404,62.1
201405,70.9
201406,78.5
201407,79.6
201408,81.4
201409,72.8
201410,65.7
201411,46.8
201412,45.0
201501,39.5
201502,43.6
201503,52.6
201504,62.5
201505,65.9
201506,77.2
201507,81.4
201508,80.6
201509,77.7
201510,65.0
201511,51.7
201512,45.6
201601,41.3
201602,49.6
201603,57.4
201604,62.1
201605,67.5
201606,78.8
201607,84.9
201608,79.8
201609,74.4
201610,67.6
201611,56.9
201612,42.1
