Tom Green County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,44.4
201002,43.6
201003,53.9
201004,64.6
201005,73.0
201006,83.0
201007,80.7
201008,84.9
201009,77.5
201010,65.9
201011,55.7
201012,48.1
201101,43.2
201102,47.7
201103,61.7
201104,71.2
201105,75.0
201106,86.6
201107,87.7
201108,87.5
201109,76.6
201110,65.8
201111,55.2
201112,44.9
201201,48.4
201202,50.8
201203,61.3
201204,70.8
201205,75.6
201206,83.3
201207,83.9
201208,84.2
201209,76.4
201210,64.1
201211,58.5
201212,50.0
201301,47.1
201302,50.7
201303,58.4
201304,64.6
201305,73.3
201306,81.9
201307,80.8
201308,82.8
201309,76.8
201310,65.4
201311,51.1
201312,43.6
201401,43.8
201402,48.3
201403,55.1
201404,66.6
201405,73.4
201406,79.5
201407,82.2
201408,82.3
201409,76.2
201410,69.8
201411,51.6
201412,51.2
201501,43.2
201502,47.5
201503,55.3
201504,66.6
201505,71.9
201506,78.3
201507,82.6
201508,84.3
201509,79.3
201510,68.8
201511,55.9
201512,49.8
201601,45.5
201602,53.1
201603,59.7
201604,64.5
201605,71.2
201606,78.3
201607,85.9
201608,82.2
201609,76.2
201610,70.0
201611,60.2
201612,48.5
