Davis County, Utah, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.1
201002,32.1
201003,39.2
201004,44.6
201005,49.5
201006,63.9
201007,73.2
201008,70.6
201009,64.3
201010,52.4
201011,35.6
201012,32.3
201101,26.7
201102,30.3
201103,38.8
201104,42.1
201105,50.2
201106,62.1
201107,73.0
201108,73.6
201109,64.4
201110,51.1
201111,36.4
201112,28.2
201201,31.2
201202,32.6
201203,44.5
201204,50.3
201205,56.9
201206,68.1
201207,75.8
201208,75.4
201209,65.2
201210,50.5
201211,42.9
201212,30.5
201301,21.9
201302,28.2
201303,40.8
201304,44.0
201305,57.1
201306,68.1
201307,75.4
201308,73.7
201309,62.8
201310,47.1
201311,40.1
201312,24.2
201401,30.1
201402,35.9
201403,42.2
201404,46.8
201405,57.9
201406,64.7
201407,75.5
201408,68.8
201409,64.9
201410,54.2
201411,38.3
201412,33.3
201501,33.4
201502,39.7
201503,46.1
201504,48.1
201505,55.4
201506,71.6
201507,70.5
201508,71.3
201509,66.0
201510,55.8
201511,35.5
201512,28.5
201601,28.3
201602,35.2
201603,42.4
201604,49.8
201605,55.4
201606,70.5
201607,74.5
201608,72.6
201609,62.2
201610,53.6
201611,43.6
201612,27.0
