James City County, Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.2
201002,35.4
201003,50.7
201004,61.4
201005,69.7
201006,79.7
201007,82.0
201008,80.1
201009,74.6
201010,61.6
201011,49.8
201012,33.3
201101,34.4
201102,44.6
201103,48.0
201104,61.7
201105,68.6
201106,76.9
201107,81.0
201108,78.2
201109,73.0
201110,59.5
201111,53.8
201112,46.6
201201,43.3
201202,44.4
201203,57.8
201204,58.1
201205,69.7
201206,73.5
201207,82.4
201208,78.1
201209,70.4
201210,60.9
201211,46.1
201212,46.8
201301,42.1
201302,40.9
201303,44.2
201304,59.8
201305,67.0
201306,75.8
201307,80.1
201308,75.5
201309,69.8
201310,62.0
201311,48.3
201312,44.1
201401,34.6
201402,40.0
201403,44.8
201404,58.0
201405,69.3
201406,75.6
201407,78.0
201408,75.2
201409,72.4
201410,62.5
201411,46.9
201412,43.8
201501,37.3
201502,31.6
201503,46.4
201504,58.8
201505,70.6
201506,77.4
201507,79.0
201508,76.9
201509,74.1
201510,60.2
201511,54.7
201512,54.5
201601,38.1
201602,42.2
201603,54.7
201604,57.4
201605,64.9
201606,74.7
201607,81.1
201608,80.9
201609,75.3
201610,63.6
201611,51.0
201612,42.8
