Snohomish County, Washington, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,39.3
201002,40.0
201003,41.0
201004,43.4
201005,46.9
201006,52.6
201007,60.5
201008,60.1
201009,55.5
201010,48.3
201011,36.7
201012,35.9
201101,35.2
201102,33.1
201103,38.2
201104,39.0
201105,46.0
201106,52.4
201107,56.6
201108,60.4
201109,58.7
201110,46.8
201111,36.5
201112,34.2
201201,33.4
201202,36.6
201203,36.4
201204,44.6
201205,48.4
201206,51.2
201207,60.2
201208,62.5
201209,57.3
201210,47.3
201211,39.8
201212,34.1
201301,32.1
201302,36.7
201303,39.6
201304,43.2
201305,51.2
201306,56.0
201307,62.0
201308,62.9
201309,57.4
201310,46.4
201311,39.0
201312,31.6
201401,36.6
201402,32.2
201403,39.8
201404,44.6
201405,52.1
201406,54.8
201407,63.2
201408,63.8
201409,58.0
201410,52.0
201411,38.8
201412,37.1
201501,38.5
201502,42.0
201503,44.4
201504,44.5
201505,53.3
201506,60.5
201507,64.4
201508,63.0
201509,54.4
201510,51.7
201511,37.7
201512,35.4
201601,35.4
201602,40.8
201603,41.8
201604,49.8
201605,52.1
201606,56.3
201607,59.8
201608,62.6
201609,54.6
201610,47.6
201611,43.9
201612,30.0
