Cabell County, West Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,30.5
201002,30.9
201003,46.7
201004,58.6
201005,66.9
201006,75.6
201007,77.1
201008,77.1
201009,69.0
201010,57.7
201011,45.6
201012,28.6
201101,30.4
201102,39.5
201103,46.2
201104,58.2
201105,64.0
201106,72.9
201107,78.4
201108,74.7
201109,67.5
201110,54.9
201111,49.7
201112,40.8
201201,37.7
201202,40.2
201203,56.4
201204,54.6
201205,69.1
201206,71.5
201207,78.8
201208,73.9
201209,67.0
201210,54.9
201211,42.0
201212,41.8
201301,35.8
201302,35.6
201303,39.3
201304,55.6
201305,64.8
201306,72.8
201307,75.2
201308,72.8
201309,67.6
201310,57.5
201311,41.9
201312,37.8
201401,25.8
201402,33.8
201403,39.8
201404,56.9
201405,64.6
201406,73.3
201407,72.6
201408,73.3
201409,67.6
201410,56.2
201411,39.7
201412,40.2
201501,31.2
201502,25.4
201503,43.0
201504,55.7
201505,67.6
201506,73.9
201507,74.9
201508,73.2
201509,70.5
201510,57.2
201511,50.6
201512,48.3
201601,30.6
201602,38.4
201603,51.7
201604,57.2
201605,62.4
201606,73.4
201607,76.9
201608,78.7
201609,72.6
201610,61.0
201611,48.6
201612,37.7
