Preston County, West Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.5
201002,23.7
201003,40.7
201004,53.1
201005,60.6
201006,68.7
201007,71.6
201008,70.4
201009,63.2
201010,51.2
201011,40.6
201012,22.5
201101,23.3
201102,32.6
201103,39.2
201104,51.5
201105,61.0
201106,66.5
201107,72.4
201108,69.1
201109,62.9
201110,49.7
201111,45.2
201112,35.8
201201,31.2
201202,34.5
201203,49.0
201204,48.1
201205,63.5
201206,65.2
201207,73.1
201208,68.2
201209,61.3
201210,51.0
201211,36.8
201212,36.6
201301,30.9
201302,27.8
201303,33.1
201304,50.2
201305,58.0
201306,66.5
201307,70.4
201308,66.3
201309,60.6
201310,51.7
201311,36.9
201312,33.5
201401,20.7
201402,26.1
201403,32.5
201404,49.4
201405,58.6
201406,67.3
201407,67.5
201408,66.2
201409,61.6
201410,51.7
201411,35.9
201412,35.2
201501,25.3
201502,18.3
201503,35.4
201504,50.0
201505,62.3
201506,67.2
201507,69.9
201508,67.0
201509,64.1
201510,50.7
201511,45.6
201512,43.5
201601,23.8
201602,31.7
201603,44.9
201604,48.6
201605,57.4
201606,67.5
201607,71.2
201608,72.7
201609,66.6
201610,54.4
201611,42.8
201612,33.1
